arg1 sensekey,arg1 offset,relation,arg2 sensekey,arg2 offset,arg1 gloss (abbreviated),arg2 gloss (abbreviated)
disseminate%2:32:00::,200968211,event,dissemination%1:04:00::,100368592,"cause to become widely known; ""spread in...",the act of dispersing or diffusing somet...
dissent%2:32:01::,200804802,event,dissension%1:26:00::,113982357,"be of different opinions; ""I beg to diff...",a conflict of people's opinions or actio...
dissent%2:32:01::,200804802,event,dissension%1:10:00::,107181546,"be of different opinions; ""I beg to diff...",disagreement among those expected to coo...
dissertate%2:32:00::,200814621,event,dissertation%1:10:00::,106409085,talk at length and formally about a topi...,a treatise advancing a new point of view...
dissimilate%2:30:02::,200161012,event,dissimilation%1:22:01::,113467443,become dissimilar by changing the sound ...,a linguistic process by which one of two...
dissimilate%2:30:00::,200160653,event,dissimilation%1:22:01::,113467443,"become dissimilar or less similar; ""Thes...",a linguistic process by which one of two...
dissimulate%2:39:00::,202147824,event,dissimulation%1:04:00::,100752431,hide (feelings) from other people,the act of deceiving
dissipate%2:42:04::,202614812,event,dissipation%1:04:01::,100748307,"live a life of pleasure, especially with...",dissolute indulgence in sensual pleasure...
dissipate%2:38:01::,202030424,event,dissipation%1:11:00::,107332148,to cause to separate and go in different...,breaking up and scattering by dispersion...
dissipate%2:38:00::,202028994,event,dissipation%1:11:00::,107332148,"move away from each other; ""The crowds d...",breaking up and scattering by dispersion...
dissipate%2:34:00::,201195804,event,dissipation%1:04:02::,100742645,"spend frivolously and unwisely; ""Fritter...",useless or profitless activity; using or...
dissociate%2:41:00::,202430580,event,dissociation%1:04:00::,100384802,"part; cease or break association with; ""...",the act of removing from association
dissociate%2:31:00::,200714273,event,dissociation%1:04:00::,100384802,"regard as unconnected; ""you must dissoci...",the act of removing from association
dissociate%2:30:10::,200209598,event,dissociation%1:22:00::,113467700,to undergo a reversible or temporary bre...,(chemistry) the temporary or reversible ...
dissolve%2:30:01::,200447309,event,dissolution%1:22:01::,113468094,"cause to go into a solution; ""The recipe...","the process of going into solution; ""the..."
dissolve%2:30:00::,200446329,event,dissolution%1:22:01::,113468094,"pass into a solution; ""The sugar quickly...","the process of going into solution; ""the..."
dissolve%2:30:08::,200355955,event,dissolution%1:22:00::,113467916,bring the association of to an end or ca...,separation into component parts
dissolve%2:30:08::,200355955,event,dissolution%1:04:01::,100216038,bring the association of to an end or ca...,the termination of a meeting
dissolve%2:30:08::,200355955,event,dissolution%1:04:00::,100215314,bring the association of to an end or ca...,the termination or disintegration of a r...
dissuade%2:32:00::,200770141,event,dissuasion%1:10:00::,107245686,"turn away from by persuasion; ""Negative ...",persuading not to do or believe somethin...
distend%2:30:00::,200305537,event,distention%1:04:00::,100366317,"become wider; ""His pupils were dilated""",the act of expanding by pressure from wi...
distend%2:30:00::,200305537,event,distension%1:04:00::,100366317,"become wider; ""His pupils were dilated""",the act of expanding by pressure from wi...
distend%2:30:03::,200257087,event,distention%1:04:00::,100366317,cause to expand as it by internal pressu...,the act of expanding by pressure from wi...
distend%2:30:01::,200256862,event,distension%1:04:00::,100366317,swell from or as if from internal pressu...,the act of expanding by pressure from wi...
distend%2:30:01::,200256862,event,distention%1:04:00::,100366317,swell from or as if from internal pressu...,the act of expanding by pressure from wi...
distill%2:30:03::,200475183,event,distillation%1:22:00::,113468306,"remove impurities from, increase the con...",the process of purifying a liquid by boi...
distill%2:30:02::,200229280,event,distillation%1:22:00::,113468306,extract by the process of distillation; ...,the process of purifying a liquid by boi...
distill%2:30:01::,200229026,event,distillation%1:22:00::,113468306,undergo the process of distillation,the process of purifying a liquid by boi...
distinguish%2:31:00::,200650353,event,distinction%1:09:00::,105748285,"mark as different; ""We distinguish sever...",a discrimination between things as diffe...
distort%2:32:00::,200835903,event,distortion%1:19:01::,111511765,make false by mutilation or addition; as...,a change (usually undesired) in the wave...
distort%2:32:00::,200835903,event,distortion%1:04:01::,100073713,make false by mutilation or addition; as...,the mistake of misrepresenting the facts...
distort%2:32:00::,200835903,event,distortion%1:04:00::,100751529,make false by mutilation or addition; as...,the act of distorting something so it se...
distract%2:37:00::,201791756,event,distraction%1:04:02::,100200041,draw someone's attention away from somet...,the act of distracting; drawing someone'...
distract%2:37:02::,201764171,event,distraction%1:09:00::,105684440,disturb in mind or make uneasy or cause ...,"mental turmoil; ""he drives me to distrac..."
distribute%2:41:00::,202479990,event,distribution%1:04:01::,101112885,"make available; ""The publisher wants to ...",the commercial activity of transporting ...
distribute%2:40:00::,202294436,event,distribution%1:04:00::,101083077,"administer or bestow, as in small portio...",the act of distributing or spreading or ...
distribute%2:35:01::,201378556,event,distribution%1:04:00::,101083077,"distribute or disperse widely; ""The inva...",the act of distributing or spreading or ...
disunite%2:41:00::,202430580,event,disunion%1:04:00::,100385501,"part; cease or break association with; ""...",the termination or destruction of union
divagate%2:32:00::,200780575,event,divagation%1:10:00::,106600684,lose clarity or turn aside especially fr...,a message that departs from the main sub...
divagate%2:32:00::,200780575,event,divagation%1:04:00::,100350380,lose clarity or turn aside especially fr...,a turning aside (of your course or atten...
diversify%2:30:02::,200437125,event,diversification%1:04:00::,100195569,"make (more) diverse; ""diversify a course...",the act of introducing variety (especial...
diversify%2:30:00::,200436404,event,diversification%1:04:00::,100195569,vary in order to spread risk or to expan...,the act of introducing variety (especial...
divert%2:41:00::,202492362,event,diversion%1:04:00::,100426928,"occupy in an agreeable, entertaining or ...",an activity that diverts or amuses or st...
divert%2:38:00::,202064887,event,diversion%1:04:01::,100350380,turn aside; turn away from,a turning aside (of your course or atten...
divide%2:41:00::,202467662,event,division%1:04:00::,100385791,"separate into parts or portions; ""divide...",the act or process of dividing
divide%2:38:00::,202031158,event,division%1:04:02::,100397953,make a division or separation,the act of dividing or partitioning; sep...
divide%2:31:00::,200642098,event,division%1:04:01::,100870912,"perform a division; ""Can you divide 49 b...",an arithmetic operation that is the inve...
dominate%2:42:01::,202646931,event,dominion%1:26:00::,114442933,"be in control; ""Her husband completely d...",dominance or power through legal authori...
dominate%2:42:01::,202646931,event,domination%1:26:00::,114442530,"be in control; ""Her husband completely d...","power to dominate or defeat; ""mastery of..."
dominate%2:42:01::,202646931,event,domination%1:04:00::,101128390,"be in control; ""Her husband completely d...",social control by dominating
dominate%2:41:00::,202539334,event,domination%1:26:00::,114442530,have dominance or the power to defeat ov...,"power to dominate or defeat; ""mastery of..."
donate%2:40:00::,202263027,event,donation%1:21:00::,113270038,"give to a charity or good cause; ""I dona...",a voluntary gift (as of money or service...
donate%2:40:00::,202263027,event,donation%1:04:00::,101089778,"give to a charity or good cause; ""I dona...",act of giving in common with others for ...
dramatise%2:36:00::,201701311,event,dramatisation%1:04:00::,100899292,"put into dramatic form; ""adopt a book fo...",a dramatic representation
dramatise%2:32:01::,200988287,event,dramatisation%1:04:00::,100899292,represent something in a dramatic manner...,a dramatic representation
dramatize%2:36:00::,201701311,event,dramatization%1:04:01::,100930868,"put into dramatic form; ""adopt a book fo...","conversion into dramatic form; ""the play..."
dramatize%2:36:00::,201701311,event,dramatization%1:04:00::,100899292,"put into dramatic form; ""adopt a book fo...",a dramatic representation
dramatize%2:32:01::,200988287,event,dramatization%1:04:00::,100899292,represent something in a dramatic manner...,a dramatic representation
duplicate%2:36:01::,201735308,event,duplication%1:04:00::,101019703,"make a duplicate or duplicates of; ""Coul...",the act of copying or making a duplicate...
edify%2:32:00::,200991385,event,edification%1:09:00::,105987835,"make understand; ""Can you enlighten me--...",uplifting enlightenment
educate%2:41:00::,202387486,event,education%1:04:00::,100883297,"give an education to; ""We must educate o...",the activities of educating or instructi...
educate%2:31:00::,200603298,event,education%1:09:01::,105753564,"create by training and teaching; ""The ol...",the gradual process of acquiring knowled...
educate%2:31:00::,200603298,event,education%1:04:00::,100883297,"create by training and teaching; ""The ol...",the activities of educating or instructi...
effectuate%2:36:00::,201642924,event,effectuation%1:04:00::,100044150,"produce; ""The scientists set up a shock ...",the act of implementing (providing a pra...
effuse%2:30:01::,200546080,event,effusion%1:04:00::,100329943,flow or spill forth,flow under pressure
effuse%2:30:00::,200291286,event,effusion%1:10:00::,107014320,give out or emit (also metaphorically); ...,an unrestrained expression of emotion
egress%2:30:00::,200528990,event,egression%1:04:00::,100044455,"come out of; ""Water issued from the hole...",the act of coming (or going) out; becomi...
ejaculate%2:32:00::,200981944,event,ejaculation%1:10:00::,107125958,"utter impulsively; ""He blurted out the s...",an abrupt emphatic exclamation expressin...
ejaculate%2:29:00::,200055010,event,ejaculation%1:22:00::,113471815,eject semen,the discharge of semen in males
eject%2:38:00::,202076999,event,ejection%1:04:01::,100116687,"leave an aircraft rapidly, using an ejec...",the act of expelling or projecting or ej...
eject%2:35:01::,201468576,event,ejection%1:04:00::,100206927,"put out or expel from a place; ""The unru...",the act of forcing out someone or someth...
eject%2:35:00::,201375637,event,ejection%1:04:01::,100116687,"cause to come out in a squirt; ""the boy ...",the act of expelling or projecting or ej...
eject%2:29:00::,200104868,event,ejection%1:04:01::,100116687,"eliminate (a substance); ""combustion pro...",the act of expelling or projecting or ej...
elaborate%2:36:00::,201625343,event,elaboration%1:04:00::,100250710,produce from basic elements or sources; ...,developing in intricate and painstaking ...
elaborate%2:32:00::,200955601,event,elaboration%1:10:00::,107172756,"add details, as to an account or idea; c...",a discussion that provides additional in...
elaborate%2:32:00::,200955601,event,elaboration%1:04:01::,100371487,"add details, as to an account or idea; c...",addition of extra material or illustrati...
elaborate%2:30:00::,200400883,event,elaboration%1:04:00::,100250710,"make more complex, intricate, or richer;...",developing in intricate and painstaking ...
elaborate%2:30:01::,200251463,event,elaboration%1:04:00::,100250710,"work out in detail; ""elaborate a plan""",developing in intricate and painstaking ...
elect%2:41:00::,202400760,event,election%1:04:01::,100181781,select by a vote for an office or member...,a vote to select the winner of a positio...
electrify%2:37:00::,201830798,event,electrification%1:04:00::,101047191,"excite suddenly and intensely; ""The news...",the activity of thrilling or markedly ex...
electrify%2:30:01::,200506040,event,electrification%1:04:01::,100952615,charge (a conductor) with electricity,"the act of providing electricity; ""the e..."
electrify%2:30:00::,200505802,event,electrification%1:04:01::,100952615,"equip for use with electricity; ""electri...","the act of providing electricity; ""the e..."
electrocute%2:41:01::,202485135,event,electrocution%1:04:00::,100228078,"kill by electric shock; ""She dropped the...",killing by electric shock
electrocute%2:41:00::,202484957,event,electrocution%1:04:01::,101165112,"kill by electrocution, as in the electri...",execution by electricity
elevate%2:41:00::,202397637,event,elevation%1:26:00::,113940456,give a promotion to or assign to a highe...,the highest level or degree attainable; ...
elevate%2:41:00::,202397637,event,elevation%1:04:01::,100373544,give a promotion to or assign to a highe...,the act of increasing the wealth or pres...
elevate%2:38:00::,201974062,event,elevation%1:11:00::,107370671,raise from a lower to a higher position;...,the event of something being raised upwa...
elevate%2:38:00::,201974062,event,elevation%1:07:00::,105131283,raise from a lower to a higher position;...,distance of something above a reference ...
elevate%2:30:00::,200544549,event,elevation%1:04:01::,100373544,"raise in rank or condition; ""The new law...",the act of increasing the wealth or pres...
elicit%2:37:00::,201759326,event,elicitation%1:09:00::,105827253,"call forth (emotions, feelings, and resp...",stimulation that calls up (draws forth) ...
elide%2:31:00::,200615421,event,elision%1:22:00::,113473536,"leave or strike out; ""This vowel is usua...",omission of a sound between two words (u...
elide%2:31:00::,200615421,event,elision%1:09:00::,105707269,"leave or strike out; ""This vowel is usua...","a deliberate act of omission; ""with the ..."
eliminate%2:30:06::,200575561,event,elimination%1:04:03::,100395503,remove (an unknown variable) from two or...,the act of removing an unknown mathemati...
eliminate%2:30:01::,200471711,event,elimination%1:04:02::,100395333,"terminate, end, or take out; ""Let's elim...",the act of removing or getting rid of so...
eliminate%2:30:01::,200471711,event,elimination%1:04:01::,100223720,"terminate, end, or take out; ""Let's elim...",the murder of a competitor
eliminate%2:29:00::,200072989,event,elimination%1:22:00::,113473097,"eliminate from the body; ""Pass a kidney ...",the bodily process of discharging waste ...
elocute%2:32:00::,200769180,event,elocution%1:10:00::,107083246,"declaim in an elocutionary manner; ""The ...",an expert manner of speaking involving c...
elongate%2:30:00::,200318816,event,elongation%1:06:00::,103281935,make long or longer by pulling and stret...,an addition to the length of something
elongate%2:30:00::,200318816,event,elongation%1:04:00::,100406007,make long or longer by pulling and stret...,the act of lengthening something
elucidate%2:32:00::,200939857,event,elucidation%1:10:01::,107232655,"make clear and (more) comprehensible; ""c...",an act of explaining that serves to clea...
elucidate%2:32:00::,200939857,event,elucidation%1:10:00::,107171206,"make clear and (more) comprehensible; ""c...",an interpretation that removes obstacles...
elucidate%2:31:00::,200621058,event,elucidation%1:10:01::,107232655,make free from confusion or ambiguity; m...,an act of explaining that serves to clea...
elucidate%2:31:00::,200621058,event,elucidation%1:10:00::,107171206,make free from confusion or ambiguity; m...,an interpretation that removes obstacles...
elude%2:38:00::,202074377,event,elusion%1:04:00::,100059376,"escape, either physically or mentally; ""...",the act of avoiding capture (especially ...
elute%2:35:00::,201270463,event,elution%1:22:00::,113473836,"wash out with a solvent, as in chromatog...",the process of extracting one material f...
emanate%2:30:00::,200546192,event,emanation%1:04:00::,101253060,"proceed or issue forth, as from a source...",the act of emitting; causing to flow for...
emanate%2:29:00::,200004605,event,emanation%1:04:00::,101253060,"give out (breath or an odor); ""The chimn...",the act of emitting; causing to flow for...
emancipate%2:41:01::,202497400,event,emancipation%1:04:00::,101247413,give equal rights to; of women and minor...,freeing someone from the control of anot...
emancipate%2:41:00::,202496498,event,emancipation%1:04:00::,101247413,free from slavery or servitude,freeing someone from the control of anot...
emasculate%2:30:00::,200541953,event,emasculation%1:07:00::,104668713,"deprive of strength or vigor; ""The Senat...",loss of power and masculinity
emasculate%2:29:00::,200060833,event,emasculation%1:04:00::,100692349,remove the testicles of a male animal,neutering a male animal by removing the ...
emerge%2:42:00::,202625016,event,emersion%1:04:01::,100050693,happen or occur as a result of something...,the act of emerging
emerge%2:38:00::,201990694,event,emersion%1:04:01::,100050693,"come up to the surface of or rise; ""He f...",the act of emerging
emerge%2:30:02::,200528990,event,emersion%1:04:01::,100050693,"come out of; ""Water issued from the hole...",the act of emerging
emerge%2:30:01::,200426581,event,emersion%1:04:01::,100050693,"become known or apparent; ""Some nice res...",the act of emerging
emerge%2:30:00::,200423971,event,emersion%1:04:01::,100050693,"come out into view, as from concealment;...",the act of emerging
emigrate%2:30:00::,200416135,event,emigration%1:04:00::,100056087,leave one's country of residence for a n...,migration from a place (especially migra...
emit%2:43:00::,202767308,event,emission%1:04:00::,101253060,"give off, send forth, or discharge; as o...",the act of emitting; causing to flow for...
emit%2:29:00::,200105333,event,emission%1:04:00::,101253060,expel (gases or odors),the act of emitting; causing to flow for...
emote%2:37:00::,201772806,event,emotion%1:12:00::,107480068,"give expression or emotion to, in a stag...",any strong feeling
emulate%2:42:00::,202675701,event,emulation%1:12:00::,107484929,"strive to equal or match, especially by ...",ambition to equal or excel
emulate%2:42:00::,202675701,event,emulation%1:04:00::,101021270,"strive to equal or match, especially by ...",effort to equal or surpass another
emulate%2:42:01::,202675270,event,emulation%1:09:00::,105665984,imitate the function of (another system)...,(computer science) technique of one mach...
emulate%2:33:00::,201122405,event,emulation%1:12:00::,107484929,compete with successfully; approach or r...,ambition to equal or excel
emulate%2:33:00::,201122405,event,emulation%1:04:00::,101021270,compete with successfully; approach or r...,effort to equal or surpass another
encapsulate%2:35:00::,201587984,event,encapsulation%1:22:00::,113474495,enclose in a capsule or other small cont...,the process of enclosing (as in a capsul...
encrust%2:30:00::,200255079,event,encrustation%1:22:00::,113497650,form a crust or a hard layer,the formation of a crust
encrypt%2:32:00::,200994076,event,encryption%1:04:00::,100615887,"convert ordinary language into code; ""We...",the activity of converting data or infor...
enervate%2:30:00::,200389856,event,enervation%1:11:00::,107331210,weaken mentally or morally,serious weakening and loss of energy
enjoin%2:32:00::,200746718,event,injunction%1:10:00::,107170467,give instructions to or direct somebody ...,a formal command or admonition
enthrone%2:41:00::,202391193,event,enthronization%1:11:00::,107453638,"put a monarch on the throne; ""The Queen ...",the ceremony of installing a new monarch...
enthrone%2:41:00::,202391193,event,enthronisation%1:11:00::,107453638,"put a monarch on the throne; ""The Queen ...",the ceremony of installing a new monarch...
enucleate%2:30:00::,200176459,event,enucleation%1:04:00::,100671190,remove (a tumor or eye) from an envelopi...,surgical removal of something without cu...
enumerate%2:32:01::,200948071,event,enumeration%1:04:00::,100634586,"determine the number or amount of; ""Can ...",the act of counting; reciting numbers in...
enunciate%2:32:01::,200978549,event,enunciation%1:10:00::,107132415,"speak, pronounce, or utter in a certain ...",the articulation of speech regarded from...
enunciate%2:32:00::,200978369,event,enunciation%1:10:00::,107132415,express or state clearly,the articulation of speech regarded from...
equalise%2:33:00::,201115411,event,equalisation%1:04:00::,100044673,compensate; make the score equal,the act of making equal or uniform
equalise%2:30:00::,200417001,event,equalisation%1:04:00::,100044673,"make equal, uniform, corresponding, or m...",the act of making equal or uniform
equalize%2:33:00::,201115411,event,equalization%1:04:00::,100044673,compensate; make the score equal,the act of making equal or uniform
equalize%2:30:00::,200417001,event,equalization%1:04:00::,100044673,"make equal, uniform, corresponding, or m...",the act of making equal or uniform
equate%2:42:00::,202633534,event,equation%1:10:00::,106669864,"be equivalent or parallel, in mathematic...",a mathematical statement that two expres...
equate%2:31:00::,200653620,event,equation%1:04:00::,100185307,"consider or describe as similar, equal, ...",the act of regarding as equal
equivocate%2:32:00::,200835506,event,equivocation%1:10:00::,106761099,be deliberately ambiguous or unclear in ...,a statement that is not literally false ...
equivocate%2:32:00::,200835506,event,equivocation%1:07:00::,104825383,be deliberately ambiguous or unclear in ...,intentionally vague or ambiguous
equivocate%2:32:00::,200835506,event,equivocation%1:04:00::,100751779,be deliberately ambiguous or unclear in ...,falsification by means of vague or ambig...
eradicate%2:36:00::,201662118,event,eradication%1:11:00::,107331013,"destroy completely, as if down to the ro...",the complete destruction of every trace ...
erect%2:38:00::,201982866,event,erection%1:04:00::,100911752,cause to rise up,the act of building or putting up
erect%2:36:00::,201661243,event,erection%1:04:00::,100911752,"construct, build, or erect; ""Raise a bar...",the act of building or putting up
erode%2:30:00::,200274724,event,erosion%1:22:00::,113475538,"remove soil or rock; ""Rain eroded the te...",(geology) the mechanical process of wear...
eruct%2:29:04::,200077071,event,eructation%1:26:00::,114008567,"eject or send out in large quantities, a...",(of volcanos) pouring out fumes or lava ...
eruct%2:29:00::,200003431,event,eructation%1:04:00::,100117578,"expel gas from the stomach; ""In China it...",a reflex that expels gas noisily from th...
erupt%2:30:04::,200548266,event,eruption%1:11:02::,107320176,"break out; ""The tooth erupted and had to...",the emergence of a tooth as it breaks th...
erupt%2:30:02::,200307785,event,eruption%1:11:03::,107435273,"erupt or intensify suddenly; ""Unrest eru...",a sudden violent spontaneous occurrence ...
erupt%2:30:00::,200307568,event,eruption%1:26:01::,114008567,become active and spew forth lava and ro...,(of volcanos) pouring out fumes or lava ...
erupt%2:30:00::,200307568,event,eruption%1:11:00::,107436475,become active and spew forth lava and ro...,the sudden occurrence of a violent disch...
escalate%2:30:00::,200290302,event,escalation%1:04:00::,100366846,"increase in extent or intensity; ""The Al...",an increase to counteract a perceived di...
estimate%2:31:00::,200672433,event,estimation%1:10:00::,106528783,judge tentatively or form an estimate of...,a document appraising the value of somet...
estimate%2:31:00::,200672433,event,estimation%1:09:00::,105803379,judge tentatively or form an estimate of...,an approximate calculation of quantity o...
estimate%2:31:00::,200672433,event,estimation%1:04:01::,100875246,judge tentatively or form an estimate of...,a judgment of the qualities of something...
estivate%2:29:00::,200016183,event,estivation%1:26:00::,114014162,"sleep during summer; ""certain animals es...",(zoology) cessation or slowing of activi...
etiolate%2:30:01::,200225690,event,etiolation%1:04:01::,100362862,make weak by stunting the growth or deve...,the act of weakening by stunting the gro...
etiolate%2:30:00::,200134136,event,etiolation%1:04:00::,100274206,bleach and alter the natural development...,(botany) the act of causing a plant to d...
evacuate%2:38:00::,202014024,event,evacuation%1:04:01::,100054821,move people from their homes or country,the act of evacuating; leaving a place i...
evacuate%2:38:01::,201856450,event,evacuation%1:04:01::,100054821,move out of an unsafe location into safe...,the act of evacuating; leaving a place i...
evacuate%2:30:00::,200449295,event,evacuation%1:04:00::,100395797,"empty completely; ""evacuate the bottle""",the act of removing the contents of some...
evacuate%2:29:00::,200073343,event,evacuation%1:22:00::,113473097,excrete or discharge from the body,the bodily process of discharging waste ...
evacuate%2:29:00::,200073343,event,evacuation%1:04:00::,100395797,excrete or discharge from the body,the act of removing the contents of some...
evade%2:38:00::,202074377,event,evasion%1:04:00::,100059127,"escape, either physically or mentally; ""...",the act of physically escaping from some...
evade%2:32:00::,200809654,event,evasion%1:04:01::,100740712,"avoid or try to avoid fulfilling, answer...",nonperformance of something distasteful ...
evaluate%2:31:00::,200681429,event,evaluation%1:09:00::,105736149,"evaluate or estimate the nature, quality...",an appraisal of the value of something; ...
evaluate%2:31:00::,200681429,event,evaluation%1:04:00::,100874806,"evaluate or estimate the nature, quality...",act of ascertaining or fixing the value ...
evaporate%2:30:02::,200575970,event,evaporation%1:22:00::,113572436,"cause to change into a vapor; ""The chemi...",the process of becoming a vapor
evaporate%2:30:01::,200575720,event,evaporation%1:22:00::,113572436,"change into a vapor; ""The water evaporat...",the process of becoming a vapor
evaporate%2:30:00::,200366858,event,evaporation%1:22:01::,113460568,lose or cause to lose liquid by vaporiza...,the process of extracting moisture
evert%2:38:00::,202089632,event,eversion%1:04:00::,100335653,turn inside out; turn the inner surface ...,the act of turning inside out
evict%2:35:01::,201468327,event,eviction%1:04:01::,101194904,expel or eject without recourse to legal...,action by a landlord that compels a tena...
evict%2:35:00::,201468058,event,eviction%1:04:00::,101194331,expel from one's property or force to mo...,the expulsion of someone (such as a tena...
eviscerate%2:30:00::,200197590,event,evisceration%1:04:01::,100670703,"remove the entrails of; ""draw a chicken""...",the act of removing the bowels or viscer...
evoke%2:37:00::,201759326,event,evocation%1:09:01::,105827253,"call forth (emotions, feelings, and resp...",stimulation that calls up (draws forth) ...
evoke%2:36:00::,201646866,event,evocation%1:09:01::,105827253,"evoke or provoke to appear or occur; ""He...",stimulation that calls up (draws forth) ...
evoke%2:36:02::,201629958,event,evocation%1:09:02::,105978623,summon into action or bring into existen...,calling up supposed supernatural forces ...
evoke%2:32:01::,200930368,event,evocation%1:09:00::,105769833,"call to mind; ""this remark evoked sadnes...",imaginative re-creation
evolve%2:30:03::,200545557,event,evolution%1:22:00::,113477023,"gain through experience; ""I acquired a s...",(biology) the sequence of events involve...
evolve%2:30:00::,200251064,event,evolution%1:22:01::,113464820,"undergo development or evolution; ""Moder...",a process in which something passes by d...
evolve%2:30:00::,200251064,event,evolution%1:22:00::,113477023,"undergo development or evolution; ""Moder...",(biology) the sequence of events involve...
exacerbate%2:37:00::,201820901,event,exacerbation%1:04:00::,101222157,exasperate or irritate,"violent and bitter exasperation; ""his fo..."
exacerbate%2:30:00::,200208210,event,exacerbation%1:04:01::,100374835,"make worse; ""This drug aggravates the pa...",action that makes a problem or a disease...
exact%2:32:00::,201017826,event,exaction%1:04:00::,101061526,"claim as due or just; ""The bank demanded...",act of demanding or levying by force or ...
exaggerate%2:41:00::,202568999,event,exaggeration%1:04:00::,100367552,"do something to an excessive degree; ""He...",the act of making something more noticea...
exaggerate%2:32:00::,200839834,event,exaggeration%1:10:01::,107106502,"to enlarge beyond bounds or the truth; ""...",extravagant exaggeration
exaggerate%2:32:00::,200839834,event,exaggeration%1:10:00::,106758835,"to enlarge beyond bounds or the truth; ""...",making to seem more important than it re...
exaggerate%2:32:00::,200839834,event,exaggeration%1:04:00::,100367552,"to enlarge beyond bounds or the truth; ""...",the act of making something more noticea...
exalt%2:32:00::,200860620,event,exaltation%1:04:01::,101029114,"praise, glorify, or honor; ""extol the vi...",the elevation of a person (as to the sta...
exalt%2:30:00::,200544936,event,exaltation%1:04:01::,101029114,"raise in rank, character, or status; ""ex...",the elevation of a person (as to the sta...
examine%2:41:00::,202531625,event,examination%1:10:00::,107197021,"put to the test, as for its quality, or ...",a set of questions or exercises evaluati...
examine%2:41:00::,202531625,event,examination%1:09:03::,105787005,"put to the test, as for its quality, or ...",a detailed inspection of your conscience...
examine%2:41:00::,202531625,event,examination%1:04:02::,100636461,"put to the test, as for its quality, or ...",the act of giving students or candidates...
examine%2:39:00::,202131279,event,examination%1:04:00::,100635850,"observe, check out, and look over carefu...",the act of examining something closely (...
examine%2:32:01::,200788564,event,examination%1:10:01::,107193958,question or examine thoroughly and close...,formal systematic questioning
examine%2:32:01::,200788564,event,examination%1:10:00::,107197021,question or examine thoroughly and close...,a set of questions or exercises evaluati...
examine%2:32:01::,200788564,event,examination%1:04:02::,100636461,question or examine thoroughly and close...,the act of giving students or candidates...
examine%2:32:00::,200786816,event,examination%1:10:01::,107193958,question closely,formal systematic questioning
examine%2:32:00::,200786816,event,examination%1:10:00::,107197021,question closely,a set of questions or exercises evaluati...
examine%2:32:00::,200786816,event,examination%1:04:02::,100636461,question closely,the act of giving students or candidates...
examine%2:31:00::,200644583,event,examination%1:09:03::,105787005,consider in detail and subject to an ana...,a detailed inspection of your conscience...
exasperate%2:37:00::,201820901,event,exasperation%1:04:00::,100425451,exasperate or irritate,actions that cause great irritation (or ...
exasperate%2:37:01::,201786906,event,exasperation%1:04:00::,100425451,make furious,actions that cause great irritation (or ...
excavate%2:39:00::,202143539,event,excavation%1:04:01::,100941974,"recover through digging; ""Schliemann exc...","the act of digging; ""there's an interest..."
excavate%2:35:00::,201313923,event,excavation%1:04:01::,100941974,"find by digging in the ground; ""I dug up...","the act of digging; ""there's an interest..."
excavate%2:35:01::,201310660,event,excavation%1:04:00::,100922327,"remove the inner part or the core of; ""t...",the act of extracting ores or coal etc f...
except%2:31:00::,200615774,event,exception%1:09:00::,105707269,prevent from being included or considere...,"a deliberate act of omission; ""with the ..."
excise%2:35:00::,201549420,event,excision%1:10:00::,106428216,remove by erasing or crossing out or as ...,the omission that is made when an editor...
excise%2:30:02::,200472871,event,excision%1:04:00::,100393369,"remove by cutting; ""The surgeon excised ...",surgical removal of a body part or tissu...
excite%2:30:01::,200558963,event,excitation%1:26:00::,114036356,"produce a magnetic field in; ""excite the...",the neural or electrical arousal of an o...
exclaim%2:32:01::,200977336,event,exclamation%1:10:01::,107102802,"state or announce; ""`I am not a Communis...","an exclamatory rhetorical device; ""O tem..."
exclaim%2:32:00::,200912048,event,exclamation%1:10:00::,107125523,"utter aloud; often with surprise, horror...","an abrupt excited utterance; ""she gave a..."
exclude%2:35:00::,201468576,event,exclusion%1:04:01::,100206927,"put out or expel from a place; ""The unru...",the act of forcing out someone or someth...
exclude%2:31:01::,200615774,event,exclusion%1:09:00::,105707269,prevent from being included or considere...,"a deliberate act of omission; ""with the ..."
excogitate%2:36:00::,201632411,event,excogitation%1:09:01::,105633385,"come up with (an idea, plan, explanation...",the creation of something in the mind
excogitate%2:36:00::,201632411,event,excogitation%1:09:00::,105792842,"come up with (an idea, plan, explanation...",thinking something out with care in orde...
excommunicate%2:32:00::,201030397,event,excommunication%1:04:00::,100208277,exclude from a church or a religious com...,the act of banishing a member of a churc...
excoriate%2:32:00::,200864159,event,excoriation%1:10:00::,107233214,"express strong disapproval of; ""We conde...",severe censure
excrete%2:29:00::,200072989,event,excretion%1:22:00::,113473097,"eliminate from the body; ""Pass a kidney ...",the bodily process of discharging waste ...
excruciate%2:29:00::,200071178,event,excruciation%1:04:00::,100422551,"subject to torture; ""The sinners will be...",the infliction of extremely painful puni...
exculpate%2:32:00::,200904046,event,exculpation%1:04:00::,101227691,pronounce not guilty of criminal charges...,the act of freeing from guilt or blame
execrate%2:32:00::,200864910,event,execration%1:10:00::,107233634,curse or declare to be evil or anathema ...,an appeal to some supernatural power to ...
execute%2:41:03::,202563860,event,execution%1:10:01::,106554078,"carry out the legalities of; ""execute a ...",(law) the completion of a legal instrume...
